point_id,assigned_platform,uav_id,uav_type,prototype,main_service_object
M043,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
M044,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
M045,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
M046,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
M047,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
M048,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
M049,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
M050,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
M051,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
M052,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
M053,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
M054,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
M055,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
M056,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
M057,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
M058,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
M059,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
M060,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
M061,P04,UAV-B02,Type B,RY-V30,Storage tank area and adjacent main pipe-rack corridor
M062,P04,UAV-B02,Type B,RY-V30,Storage tank area and adjacent main pipe-rack corridor
M063,P04,UAV-B02,Type B,RY-V30,Storage tank area and adjacent main pipe-rack corridor
M064,P04,UAV-B02,Type B,RY-V30,Storage tank area and adjacent main pipe-rack corridor
M065,P04,UAV-B02,Type B,RY-V30,Storage tank area and adjacent main pipe-rack corridor
M066,P04,UAV-B02,Type B,RY-V30,Storage tank area and adjacent main pipe-rack corridor
M067,P04,UAV-B02,Type B,RY-V30,Storage tank area and adjacent main pipe-rack corridor
M068,P04,UAV-B02,Type B,RY-V30,Storage tank area and adjacent main pipe-rack corridor
M069,P04,UAV-B02,Type B,RY-V30,Storage tank area and adjacent main pipe-rack corridor
M070,P04,UAV-B02,Type B,RY-V30,Storage tank area and adjacent main pipe-rack corridor
M071,P04,UAV-B02,Type B,RY-V30,Storage tank area and adjacent main pipe-rack corridor
M072,P04,UAV-B02,Type B,RY-V30,Storage tank area and adjacent main pipe-rack corridor
M073,P04,UAV-B02,Type B,RY-V30,Storage tank area and adjacent main pipe-rack corridor
M074,P04,UAV-B02,Type B,RY-V30,Storage tank area and adjacent main pipe-rack corridor
M075,P04,UAV-B02,Type B,RY-V30,Storage tank area and adjacent main pipe-rack corridor
M076,P04,UAV-B02,Type B,RY-V30,Storage tank area and adjacent main pipe-rack corridor
M077,P04,UAV-B02,Type B,RY-V30,Storage tank area and adjacent main pipe-rack corridor
M078,P04,UAV-B02,Type B,RY-V30,Storage tank area and adjacent main pipe-rack corridor
M079,P05,UAV-C02,Type C,TR100,Public engineering area and emergency-support-related facilities
M080,P05,UAV-C02,Type C,TR100,Public engineering area and emergency-support-related facilities
M081,P05,UAV-C02,Type C,TR100,Public engineering area and emergency-support-related facilities
M082,P05,UAV-C02,Type C,TR100,Public engineering area and emergency-support-related facilities
M083,P05,UAV-C02,Type C,TR100,Public engineering area and emergency-support-related facilities
M084,P05,UAV-C02,Type C,TR100,Public engineering area and emergency-support-related facilities
M085,P05,UAV-C02,Type C,TR100,Public engineering area and emergency-support-related facilities
M086,P05,UAV-C02,Type C,TR100,Public engineering area and emergency-support-related facilities
M087,P05,UAV-C02,Type C,TR100,Public engineering area and emergency-support-related facilities
M088,P05,UAV-C02,Type C,TR100,Public engineering area and emergency-support-related facilities
M089,P05,UAV-C02,Type C,TR100,Public engineering area and emergency-support-related facilities
M090,P05,UAV-C02,Type C,TR100,Public engineering area and emergency-support-related facilities
M091,P05,UAV-C02,Type C,TR100,Public engineering area and emergency-support-related facilities
M092,P05,UAV-C02,Type C,TR100,Public engineering area and emergency-support-related facilities
M093,P05,UAV-C02,Type C,TR100,Public engineering area and emergency-support-related facilities
M094,P05,UAV-C02,Type C,TR100,Public engineering area and emergency-support-related facilities
M095,P05,UAV-C02,Type C,TR100,Public engineering area and emergency-support-related facilities
