point_id,source_numeric_id,source_name,lon,lat,x_m,y_m
M044,47,47,121.638178798912,30.012573252636,1082.58798529224,4585.712342653016
M045,48,48,121.635593758398,30.010915214516,833.4104586464276,4402.432808868365
M046,49,49,121.633452406022,30.0071115426945,627.0009707328671,3981.9749257196336
M047,50,50,121.63933889218,29.9996488363888,1194.4118308517843,3157.0473706877024
M048,51,51,121.644904176484,29.9923130566021,1730.8613644064687,2346.1502730658385
M049,52,52,121.647932877253,29.9884283341429,2022.8042420840968,1916.7330524257459
M050,53,53,121.651381376498,29.9904767637147,2355.2123834099416,2143.166457292587
M051,54,54,121.655234513114,29.9928122245133,2726.6243773832953,2401.328293969994
M052,55,55,121.658432174207,29.9966587003723,3034.8536983134245,2826.5177354238044
M053,56,56,121.656117086075,29.9995245388738,2811.697453150215,3143.3075233795307
M054,57,57,121.649266837761,29.9945452707584,2151.3875189144046,2592.899225903343
M055,58,58,121.646341514935,29.9979189354772,1869.409459971721,2965.824123919184
M056,59,59,121.652535020346,30.0021782607155,2466.414555723562,3436.6499357610223
M057,60,60,121.647061218146,30.0037736111034,1938.7831758057307,3612.999967639689
M058,62,62,121.63850722804,30.0075501595373,1114.2459640943114,4030.459631522733
M059,63,63,121.642287757307,30.0102350296173,1478.6591820169624,4327.245170165879
M060,64,64,121.646904696312,30.0072984396849,1923.6957049319833,4002.634519038398
M061,65,65,121.673556689672,29.9874456003647,4492.737756566037,1808.1016605837613
M062,66,66,121.67680220527,29.9897114757752,4805.579874521933,2058.5715284601424
M063,67,67,121.673564768772,29.9936092644037,4493.51651811516,2489.433083454494
M064,68,68,121.669699408039,29.9915309903126,4120.926215630545,2259.700665424588
M065,69,69,121.665476138241,29.9892895601555,3713.8363008206757,2011.9329758584727
M066,70,70,121.661809267646,29.9936454826226,3360.378882862915,2493.436645371944
M067,71,71,121.666732741755,29.9964614926979,3834.96297326417,2804.7183990955905
M068,72,72,121.664776237835,30.0038358432909,3646.3714192752122,3619.8791136458544
M069,73,73,121.66293968003,30.0124556456365,3469.3417251885617,4572.712064928393
M070,74,74,121.666380507553,30.0146423552447,3801.0103729939674,4814.430945018797
M071,75,75,121.665861045889,30.0219910687027,3750.938363707534,5626.7577306661815
M072,76,76,121.661989050195,30.0201396186248,3377.708503288882,5422.098439055055
M073,77,77,121.657124693334,30.0260596243531,2908.822849548668,6076.495872261261
M074,79,79,121.664380477024,30.0301150360513,3608.2231970344988,6524.781081380302
M075,80,80,121.669634830633,30.0241257711119,4114.701462782178,5862.7277349792475
M076,81,81,121.673565361266,30.0190617046581,4493.573629866288,5302.945829176026
M077,82,82,121.670602327361,30.0185682014747,4207.960520199192,5248.393987283049
M078,83,83,121.672136907241,30.0142499551951,4355.881922927478,4771.055043536177
M079,84,84,121.669610899586,30.0128828713377,4112.394698509683,4619.937593938859
M080,85,85,121.665562353315,30.0106769449763,3722.1467542857677,4376.094493949894
M081,86,86,121.668825377337,30.000020742895,4036.6765462901976,3198.1579158829772
M082,87,87,121.677301564784,29.9944863675762,4853.7141950226705,2586.388068142927
M083,88,88,121.682828329049,29.9905704698702,5386.450700486694,2153.524735721554
M084,89,89,121.686878349325,29.9879555778538,5776.840727171397,1864.4745722287255
M085,90,90,121.692237414222,29.9828901299551,6293.41233560182,1304.5399615062797
M086,91,91,121.68733616551,29.9779917092281,5820.970598258703,763.0685343438254
M087,92,92,121.680054498857,29.9710886104915,5119.075337185241,0.0
M088,93,93,121.676055870694,29.9751112836644,4733.639105048649,444.6662925325199
M089,94,94,121.684308242211,29.9802601409047,5529.102662559235,1013.8209718753074
M090,95,95,121.681109885342,29.9845682367548,5220.806274306894,1490.0378871452942
M091,96,96,121.672879564862,29.9799417346017,4427.468262926685,978.6243391414719
M092,97,97,121.664521331071,29.9744690431682,3621.800416757165,373.67302808238935
M093,98,98,121.653525556115,29.9858093255171,2561.8943950681055,1627.2278389298383
M094,99,99,121.658112150483,29.9893812553614,3004.005934195472,2022.0689639189802
M095,100,100,121.667499176141,29.9814880577351,3908.8412059681473,1149.5548983075419
