Configuration,UAV type setting,Run,Instance seed,Search seed,Total cost (10^4 RMB),Completion time (h),Total completion time (h),Open platforms,Deployed UAVs,Coverage rate (%),Feasible,Average route length (km),Total route distance (km),Computational time (s)
All-light,Type A only,4,2026070704,2026080104,148.04387964467384,8.87623823821619,24.093718174741795,4,4,100.0,True,4.572325078367596,411.5092570530836,1.3221659660339355
All-medium,Type B only,4,2026070704,2026081104,190.050181161751,12.928372251256258,22.850009683521723,4,4,100.0,True,4.990914778961169,449.1823301065053,1.1066293716430664
All-heavy,Type C only,4,2026070704,2026082104,220.0616393449852,12.717685890655684,22.885354159791735,4,4,100.0,True,6.2779151140014795,565.0123602601332,1.1611158847808838
Heterogeneous,Type A + Type B + Type C,4,2026070704,2026083104,198.0526826265771,8.964160805153874,22.863148774592318,4,4,100.0,True,5.262236948493574,473.60132536442165,1.3617126941680908
All-light,Type A only,5,2026070705,2026080105,148.0457351101064,14.205813956515858,26.808053175940433,4,4,100.0,True,4.34702574959778,434.70257495977796,1.453672170639038
All-medium,Type B only,5,2026070705,2026081105,190.04933133802797,13.154516622111064,25.045004429554435,4,4,100.0,True,4.385595335688246,438.55953356882463,1.2903892993927002
All-heavy,Type C only,5,2026070705,2026082105,220.07285484457705,22.996782449628085,26.61507131153014,4,4,100.0,True,7.05206105158602,705.206105158602,1.5698490142822266
Heterogeneous,Type A + Type B + Type C,5,2026070705,2026083105,148.0457351101064,14.205813956515858,26.808053175940433,4,4,100.0,True,4.34702574959778,434.70257495977796,1.6425557136535645
All-light,Type A only,6,2026070706,2026080106,148.04818482014622,11.918690478931293,30.250124405913322,4,4,100.0,True,4.046295221370113,465.323950457563,1.8991906642913818
All-medium,Type B only,6,2026070706,2026081106,190.05877138748448,16.67960101959488,29.451727128814547,4,4,100.0,True,4.839653493700129,556.5601517755148,1.2245573997497559
All-heavy,Type C only,6,2026070706,2026082106,220.07353667382012,16.92449234281204,29.632014938590043,4,4,100.0,True,6.2063388756256,713.728970696944,1.09806489944458
Heterogeneous,Type A + Type B + Type C,6,2026070706,2026083106,148.04818482014622,11.918690478931293,30.250124405913322,4,4,100.0,True,4.046295221370113,465.323950457563,1.2906787395477295
All-light,Type A only,7,2026070707,2026080107,148.04037730561237,8.09348852672383,24.98005813698593,4,4,100.0,True,3.997065421572407,367.7300187846614,1.0001986026763916
All-medium,Type B only,7,2026070707,2026081107,190.05017138461622,9.079964926969915,24.464475939601133,4,4,100.0,True,4.881088216544543,449.060115922098,1.035581350326538
All-heavy,Type C only,7,2026070707,2026082107,220.06414357902767,14.845406622822155,24.814377348488946,4,4,100.0,True,6.4816878890369996,596.315285791404,1.064941644668579
Heterogeneous,Type A + Type B + Type C,7,2026070707,2026083107,148.04037730561237,8.09348852672383,24.98005813698593,4,4,100.0,True,3.997065421572407,367.7300187846614,1.0311038494110107
All-light,Type A only,8,2026070708,2026080108,148.04571791164875,11.529019247425913,28.358638207541134,4,4,100.0,True,4.218326157664795,434.4875942394739,1.153761386871338
All-medium,Type B only,8,2026070708,2026081108,190.05651389146618,10.735053759990711,27.72144644788618,4,4,100.0,True,5.129528655795163,528.3414515469018,0.9813661575317383
All-heavy,Type C only,8,2026070708,2026082108,220.07339030103017,18.206298599131625,28.236171411770272,4,4,100.0,True,6.911643794388707,711.8993108220368,0.990401029586792
Heterogeneous,Type A + Type B + Type C,8,2026070708,2026083108,162.05423338325375,13.812560615633952,28.576983381662046,4,4,100.0,True,5.118760768589656,527.2323591647346,1.1638720035552979
All-light,Type A only,9,2026070709,2026080109,151.04571621610725,10.907919290748902,26.342358281522582,4,4,96.0,True,4.3446639997049274,434.4663999704928,1.018636703491211
All-medium,Type B only,9,2026070709,2026081109,190.05910089610086,11.40740494703612,26.742059235325357,4,4,100.0,True,5.339800090285842,560.6790094800134,0.9184982776641846
All-heavy,Type C only,9,2026070709,2026082109,220.0706045732039,13.594556856353423,26.504348746766915,4,4,100.0,True,6.448359171373077,677.077712994173,0.9405403137207031
Heterogeneous,Type A + Type B + Type C,9,2026070709,2026083109,198.05672092229383,10.34671215907946,26.061671394651064,4,4,100.0,True,4.991238303079246,524.0800218233209,1.1149060726165771
All-light,Type A only,10,2026070710,2026080110,149.5461353633469,11.947796460780312,25.800533424388426,4,4,98.0,True,4.441472125923415,439.70574046641804,1.0585918426513672
All-medium,Type B only,10,2026070710,2026081110,190.05414957267456,11.12616887683926,25.022971543560246,4,4,100.0,True,4.938489768827578,498.7874666515854,0.8686165809631348
All-heavy,Type C only,10,2026070710,2026082110,220.07356372532757,13.867776133459744,25.92879935581545,4,4,100.0,True,7.069971431089133,714.0671145400024,1.032264232635498
Heterogeneous,Type A + Type B + Type C,10,2026070710,2026083110,162.04950194168302,10.768733831436514,25.57728709339434,4,4,100.0,True,4.634547916144182,468.0893395305624,1.055656909942627
